Symbol,Name,Sector,Industry,Index,Secode,Indcode
DGX,Quest Diagnostics,Healthcare,Diagnostics & Research,SP500,hea,dr
RJF,Raymond James Financial Inc.,Financial Services,Capital Markets,SP500,fs,cmar
O,Realty Income Corporation,Real Estate,REIT - Retail,SP500,re,rret
RHT,Red Hat Inc.,Technology,Software - Application,SP500,tec,sa
REG,Regency Centers Corporation,Real Estate,REIT - Retail,SP500,re,rret
RF,Regions Financial Corp.,Financial Services,Banks - Regional - US,SP500,fs,bru
RSG,Republic Services Inc,Industrials,Waste Management,SP500,ind,wm
RMD,ResMed,Healthcare,Medical Instruments & Supplies,SP500,hea,mis
RHI,Robert Half International,Industrials,Staffing & Outsourcing Services,SP500,ind,sos
ROK,Rockwell Automation Inc.,Industrials,Diversified Industrials,SP500,ind,di
ROL,Rollins Inc.,Industrials,Business Services,SP500,ind,bs
ROP,Roper Technologies,Industrials,Diversified Industrials,SP500,ind,di
RCL,Royal Caribbean Cruises Ltd,Consumer Cyclical,Leisure,SP500,cc,lei
CRM,Salesforce.com,Technology,Software - Application,SP500,tec,sa
SBAC,SBA Communications,Communication Services,Telecom Services,SP500,cs,ts
STX,Seagate Technology,Technology,Data Storage,SP500,tec,das
SEE,Sealed Air,Consumer Cyclical,Packaging & Containers,SP500,cc,pc
SRE,Sempra Energy,Utilities,Utilities - Diversified,SP500,uti,ud
SHW,Sherwin-Williams,Basic Materials,Specialty Chemicals,SP500,bm,sc
SLG,SL Green Realty,Real Estate,REIT - Office,SP500,re,ro
SNA,Snap-on,Industrials,Tools & Accessories,SP500,ind,ta
LUV,Southwest Airlines,Industrials,Airlines,SP500,ind,air
SPGI,"S&P Global, Inc.",Financial Services,Capital Markets,SP500,fs,cmar
SWK,Stanley Black & Decker,Industrials,Tools & Accessories,SP500,ind,ta
STT,State Street Corp.,Financial Services,Asset Management,SP500,fs,amana
SYK,Stryker Corp.,Healthcare,Medical Devices,SP500,hea,mdev
STI,SunTrust Banks,Financial Services,Banks - Regional - US,SP500,fs,bru
SIVB,SVB Financial,Financial Services,Banks - Regional - US,SP500,fs,bru
SYF,Synchrony Financial,Financial Services,Credit Services,SP500,fs,cse
SYY,Sysco Corp.,Consumer Defensive,Food Distribution,SP500,cd,fd
TROW,T. Rowe Price Group,Financial Services,Asset Management,SP500,fs,amana
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,SP500,cc,lg
TEL,TE Connectivity Ltd.,Technology,Electronic Components,SP500,tec,ecom
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,SP500,ene,oges
TFX,Teleflex Inc,Healthcare,Medical Instruments & Supplies,SP500,hea,mis
TXT,Textron Inc.,Industrials,Aerospace & Defense,SP500,ind,ad
TMO,Thermo Fisher Scientific,Healthcare,Diagnostics & Research,SP500,hea,dr
TIF,Tiffany & Co.,Consumer Cyclical,Luxury Goods,SP500,cc,lg
TWTR,"Twitter, Inc.",Technology,Internet Content & Information,SP500,tec,ici
TJX,TJX Companies Inc.,Consumer Cyclical,Apparel Stores,SP500,cc,as
TMK,Torchmark Corp.,Financial Services,Insurance - Life,SP500,fs,il
TSS,Total System Services,Financial Services,Credit Services,SP500,fs,cse
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,SP500,cc,sr
TDG,TransDigm Group,Industrials,Aerospace & Defense,SP500,ind,ad
TRV,The Travelers Companies Inc.,Financial Services,Insurance - Property & Casualty,SP500,fs,ipc
TRIP,TripAdvisor,Consumer Cyclical,Leisure,SP500,cc,lei
TSN,Tyson Foods,Consumer Defensive,Farm Products,SP500,cd,fp
UDR,UDR Inc,Real Estate,REIT - Residential,SP500,re,rres
UAA,Under Armour Class A,Consumer Cyclical,Apparel Manufacturing,SP500,cc,amang
UA,Under Armour Class C,Consumer Cyclical,Apparel Manufacturing,SP500,cc,amang
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,SP500,ind,rls
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care,SP500,hea,mc
UNM,Unum Group,Financial Services,Insurance - Life,SP500,fs,il
VFC,V.F. Corp.,Consumer Cyclical,Apparel Manufacturing,SP500,cc,amang
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,SP500,ene,ogrm
VAR,Varian Medical Systems,Healthcare,Medical Instruments & Supplies,SP500,hea,mis
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities,SP500,re,rhf
VIAB,Viacom Inc.,Consumer Cyclical,Media - Diversified,SP500,cc,mdiv
VNO,Vornado Realty Trust,Real Estate,REIT - Office,SP500,re,ro
VMC,Vulcan Materials,Basic Materials,Building Materials,SP500,bm,bm
WM,Waste Management Inc.,Industrials,Waste Management,SP500,ind,wm
WAT,Waters Corporation,Healthcare,Diagnostics & Research,SP500,hea,dr
WEC,Wec Energy Group Inc,Utilities,Utilities - Regulated Electric,SP500,uti,ure
WCG,WellCare,Healthcare,Health Care Plans,SP500,hea,hcp
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,SP500,re,rhf
WU,Western Union Co,Financial Services,Credit Services,SP500,fs,cse
WRK,WestRock,Consumer Cyclical,Packaging & Containers,SP500,cc,pc
WY,Weyerhaeuser,Basic Materials,Lumber & Wood Production,SP500,bm,lwp
WHR,Whirlpool Corp.,Consumer Cyclical,Home Furnishings & Fixtures,SP500,cc,hff
WMB,Williams Cos.,Energy,Oil & Gas Midstream,SP500,ene,ogm
XRX,Xerox,Technology,Information Technology Services,SP500,tec,its
XYL,Xylem Inc.,Industrials,Diversified Industrials,SP500,ind,di
YUM,Yum! Brands Inc,Consumer Cyclical,Restaurants,SP500,cc,rest
ZBH,Zimmer Biomet Holdings,Healthcare,Medical Devices,SP500,hea,mdev
ZION,Zions Bancorp,Financial Services,Banks - Regional - US,SP500,fs,bru
ZTS,Zoetis,Healthcare,Drug Manufacturers - Specialty & Generic,SP500,hea,dmsg
AAV.TO,Advantage Oil & Gas Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
